start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(455747.48763316113, 5734571.692582849)","(455751.99581301183, 5734629.145297028)",57.62931590837213,75,Street_75,residential,supply,358,70,plant_to_building,True
"(455751.99581301183, 5734629.145297028)","(455754.5617599416, 5734680.008307179)",50.92769271524755,75,Street_75,residential,supply,358,70,plant_to_building,True
"(455754.5617599416, 5734680.008307179)","(455763.2284690041, 5734679.7653059745)",8.67011508343902,314,Street_314,residential,supply,358,70,plant_to_building,True
"(455763.2284690041, 5734679.7653059745)","(455755.2147713535, 5734616.0925270505)",64.17508960600576,426,Street_426,residential,supply,358,70,plant_to_building,True
"(455755.2147713535, 5734616.0925270505)","(455752.39344999235, 5734573.0842690095)",43.10069737189618,426,Street_426,residential,supply,358,70,plant_to_building,True
"(455752.39344999235, 5734573.0842690095)","(455749.59300680854, 5734361.258165104)",211.84461470070232,426,Street_426,residential,supply,358,70,plant_to_building,True
"(455749.59300680854, 5734361.258165104)","(455748.43175997166, 5734315.521438564)",45.75146608387313,426,Street_426,residential,supply,358,70,plant_to_building,True
"(455748.43175997166, 5734315.521438564)","(455745.4617158719, 5734268.176725381)",47.43778060097825,426,Street_426,residential,supply,358,70,plant_to_building,True
"(455745.4617158719, 5734268.176725381)","(455743.3905782839, 5734257.139144454)",11.230218324953976,426,Street_426,residential,supply,358,70,plant_to_building,True
"(455743.3905782839, 5734257.139144454)","(455747.3109655268, 5734260.252359459)",5.0061505971667914,1012,Street_1012,residential,supply,358,70,plant_to_building,True
"(455747.3109655268, 5734260.252359459)","(455751.6998482556, 5734270.335280601)",10.996708160091977,1012,Street_1012,residential,supply,358,70,plant_to_building,True
"(455751.6998482556, 5734270.335280601)","(455756.53101467085, 5734284.407303891)",14.878239425817986,1012,Street_1012,residential,supply,358,70,plant_to_building,True
"(455756.53101467085, 5734284.407303891)","(455761.0598412094, 5734292.353479277)",9.146145258212592,1012,Street_1012,residential,supply,358,70,plant_to_building,True
"(455761.0598412094, 5734292.353479277)","(455766.05741709186, 5734296.302555461)",6.3695343164691085,1012,Street_1012,residential,supply,358,70,plant_to_building,True
"(455766.05741709186, 5734296.302555461)","(455772.40127610473, 5734296.358050561)",6.3441017395149775,1012,Street_1012,residential,supply,358,70,plant_to_building,True
"(455772.40127610473, 5734296.358050561)","(455769.25027218985, 5734271.604755409)",24.95304483484384,1011,Street_1011,residential,supply,358,70,plant_to_building,True
"(455769.25027218985, 5734271.604755409)","(455765.54094053374, 5734250.8715975685)",21.062359207279446,1011,Street_1011,residential,supply,358,70,plant_to_building,True
"(455765.54094053374, 5734250.8715975685)","(455765.13000420964, 5734230.810182243)",20.06562367679421,1011,Street_1011,residential,supply,358,70,plant_to_building,True
"(455760.3462553946, 5734075.225935216)","(455779.30277551414, 5734080.898739522)",19.787126212278256,654,Street_654,residential,supply,362,70,plant_to_building,True
"(455821.06830623886, 5733877.557368377)","(455828.3528874858, 5733924.986588671)",47.98537341322886,248,Street_248,residential,supply,363,70,plant_to_building,True
"(455779.30277551414, 5734080.898739522)","(455794.3213400813, 5734085.404953895)",15.68002709280953,958,Street_958,residential,supply,365,70,plant_to_building,True
"(455828.3528874858, 5733924.986588671)","(455827.4304259842, 5733944.948468061)",19.983182029259474,248,Street_248,residential,supply,370,70,plant_to_building,True
"(455827.4304259842, 5733944.948468061)","(455826.4627077385, 5733969.192912894)",24.263750408172225,248,Street_248,residential,supply,370,70,plant_to_building,True
"(455826.4627077385, 5733969.192912894)","(455817.2639770868, 5734001.773603019)",33.854364779507556,1087,Street_1087,residential,supply,370,70,plant_to_building,True
"(455765.13000420964, 5734230.810182243)","(455766.4669504391, 5734221.922666133)",8.987511769840742,1011,Street_1011,residential,supply,372,70,plant_to_building,True
"(455766.4669504391, 5734221.922666133)","(455767.1242557614, 5734216.600327368)",5.362773556782509,674,Street_674,residential,supply,372,70,plant_to_building,True
"(455767.1242557614, 5734216.600327368)","(455763.8048327511, 5734209.611180186)",7.737360496162259,663,Street_663,residential,supply,372,70,plant_to_building,True
"(455763.8048327511, 5734209.611180186)","(455753.6047504217, 5734207.4763017)",10.42110290123195,663,Street_663,residential,supply,372,70,plant_to_building,True
"(455753.6047504217, 5734207.4763017)","(455751.5526736298, 5734204.891665658)",3.300206452491539,663,Street_663,residential,supply,372,70,plant_to_building,True
"(455751.5526736298, 5734204.891665658)","(455753.2742969192, 5734190.294913195)",14.697930780012184,663,Street_663,residential,supply,372,70,plant_to_building,True
"(455753.2742969192, 5734190.294913195)","(455750.60000391223, 5734180.530598019)",10.123916926754134,663,Street_663,residential,supply,372,70,plant_to_building,True
"(455750.60000391223, 5734180.530598019)","(455750.9043601331, 5734171.963583583)",8.572419090308662,663,Street_663,residential,supply,372,70,plant_to_building,True
"(455750.9043601331, 5734171.963583583)","(455755.09977973945, 5734167.878118386)",5.855985959075786,664,Street_664,residential,supply,372,70,plant_to_building,True
"(455755.09977973945, 5734167.878118386)","(455765.74858590995, 5734172.367032664)",11.556272074296867,664,Street_664,residential,supply,372,70,plant_to_building,True
"(455765.74858590995, 5734172.367032664)","(455777.3238467149, 5734173.0995435)",11.598415186034767,664,Street_664,residential,supply,372,70,plant_to_building,True
"(455777.3238467149, 5734173.0995435)","(455787.7891686074, 5734172.418144699)",10.487481424933787,666,Street_666,residential,supply,372,70,plant_to_building,True
"(455779.30277551414, 5734080.898739522)","(455788.4217532986, 5734052.645329368)",29.68856583206858,655,Street_655,residential,supply,373,70,plant_to_building,True
"(455772.40127610473, 5734296.358050561)","(455776.8341238954, 5734304.382940523)",9.16782408477087,1040,Street_1040,residential,supply,374,70,plant_to_building,True
"(455776.8341238954, 5734304.382940523)","(455786.7427808561, 5734316.586303457)",15.719527653469232,1040,Street_1040,residential,supply,374,70,plant_to_building,True
"(455786.7427808561, 5734316.586303457)","(455808.5517994681, 5734232.1306317765)",87.2261071684767,1039,Street_1039,residential,supply,374,70,plant_to_building,True
"(455767.1242557614, 5734216.600327368)","(455769.06414418056, 5734212.701526472)",4.354746318901892,662,Street_662,residential,supply,384,70,plant_to_building,True
"(455769.06414418056, 5734212.701526472)","(455773.2323261282, 5734208.660805198)",5.805270808743182,662,Street_662,residential,supply,384,70,plant_to_building,True
"(455786.7427808561, 5734316.586303457)","(455799.1655652242, 5734329.768640015)",18.113518945809346,1041,Street_1041,residential,supply,391,70,plant_to_building,True
"(455799.1655652242, 5734329.768640015)","(455813.8364283603, 5734345.077922924)",21.203970579852093,1041,Street_1041,residential,supply,391,70,plant_to_building,True
"(455813.8364283603, 5734345.077922924)","(455821.73902796005, 5734315.1112421)",30.991176810288895,548,Street_548,residential,supply,391,70,plant_to_building,True
"(455821.73902796005, 5734315.1112421)","(455837.17656830855, 5734258.084127825)",59.07968698745345,67,Street_67,residential,supply,391,70,plant_to_building,True
"(455794.3213400813, 5734085.404953895)","(455799.93907029135, 5734085.277779622)",5.619169512381277,958,Street_958,residential,supply,395,70,plant_to_building,True
"(455799.93907029135, 5734085.277779622)","(455810.5672581159, 5734049.64805814)",37.18111656929331,957,Street_957,residential,supply,395,70,plant_to_building,True
"(455787.7891686074, 5734172.418144699)","(455803.68331905064, 5734173.691165286)",15.945049379907505,666,Street_666,residential,supply,400,70,plant_to_building,True
"(455803.68331905064, 5734173.691165286)","(455818.195417279, 5734178.724651217)",15.36024008963777,666,Street_666,residential,supply,400,70,plant_to_building,True
"(455773.2323261282, 5734208.660805198)","(455844.8194813135, 5734210.279251901)",71.60544781825999,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455844.8194813135, 5734210.279251901)","(455849.2697032024, 5734208.482869432)",4.799110838039229,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455849.2697032024, 5734208.482869432)","(455852.04125396034, 5734202.5970010245)",6.505762101209754,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455852.04125396034, 5734202.5970010245)","(455851.17563460104, 5734197.554968585)",5.115797884374524,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455851.17563460104, 5734197.554968585)","(455847.9626457121, 5734193.2453607945)",5.375501549712964,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455847.9626457121, 5734193.2453607945)","(455839.8025882285, 5734188.3896478135)",9.495498232793894,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455839.8025882285, 5734188.3896478135)","(455826.11598731985, 5734183.816003567)",14.430567075813798,662,Street_662,residential,supply,415,70,plant_to_building,True
"(455780.48369569186, 5733496.867539587)","(455792.1080119887, 5733491.2153564915)",12.925629699114532,1018,Street_1018,residential,supply,422,70,plant_to_building,True
"(455799.93907029135, 5734085.277779622)","(455821.47119239805, 5734084.766259576)",21.538197119885695,956,Street_956,residential,supply,431,70,plant_to_building,True
