start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(456201.16091393895, 5733819.336349741)","(456183.89791647735, 5733805.249729857)",22.281021994270574,34,Street_34,residential,return,1312,40,building_to_plant,True
"(456197.43984366953, 5733535.967505968)","(456184.2162826443, 5733540.34245344)",13.928486334365637,915,Street_915,residential,return,1314,40,building_to_plant,True
"(456191.1902512473, 5734234.781824511)","(456159.44546668814, 5734225.270326803)",33.139099796782794,775,Street_775,residential,return,1322,40,building_to_plant,True
"(456234.77398548706, 5734655.734545244)","(456234.8813189791, 5734649.026737259)",6.708666666629276,359,Street_359,residential,return,1330,40,building_to_plant,True
"(456273.73824714427, 5734168.074446834)","(456192.29738986597, 5734140.686917495)",85.92258141782668,478,Street_478,residential,return,1335,40,building_to_plant,True
"(456209.1073716614, 5733827.3866635775)","(456201.16091393895, 5733819.336349741)",11.311664033523115,34,Street_34,residential,return,1336,40,building_to_plant,True
"(456208.4682783372, 5733531.611680833)","(456197.43984366953, 5733535.967505968)",11.85746953739123,915,Street_915,residential,return,1347,40,building_to_plant,True
"(456227.485475615, 5734523.161964381)","(456213.05796055397, 5734518.9607686205)",15.026750701862074,968,Street_968,residential,return,1350,40,building_to_plant,True
"(456240.81863991416, 5733886.783198596)","(456209.1073716614, 5733827.3866635775)",67.33166347564107,34,Street_34,residential,return,1354,40,building_to_plant,True
"(456278.4492157335, 5734680.325084478)","(456234.77398548706, 5734655.734545244)",50.12205459562687,359,Street_359,residential,return,1364,40,building_to_plant,True
"(456277.37499260536, 5734224.985689713)","(456293.84103275754, 5734173.105421083)",54.430623286684444,845,Street_845,residential,return,1372,40,building_to_plant,True
"(456293.84103275754, 5734173.105421083)","(456273.73824714427, 5734168.074446834)",20.72275781142148,843,Street_843,residential,return,1372,40,building_to_plant,True
"(456226.10920249653, 5733521.570418653)","(456208.4682783372, 5733531.611680833)",20.298501209563334,915,Street_915,residential,return,1374,40,building_to_plant,True
"(456285.574037475, 5734029.474291614)","(456278.38233729976, 5734034.363897219)",8.696481724425958,580,Street_580,residential,return,1376,40,building_to_plant,True
"(456278.38233729976, 5734034.363897219)","(456276.84869209724, 5734038.993051752)",4.876590950549594,580,Street_580,residential,return,1376,40,building_to_plant,True
"(456276.84869209724, 5734038.993051752)","(456281.4168163377, 5734064.257075534)",25.673695813441455,580,Street_580,residential,return,1376,40,building_to_plant,True
"(456281.4168163377, 5734064.257075534)","(456277.8702328302, 5734069.192892879)",6.077873595208324,580,Street_580,residential,return,1376,40,building_to_plant,True
"(456277.8702328302, 5734069.192892879)","(456260.329456304, 5734034.131395857)",39.204431058132634,686,Street_686,residential,return,1376,40,building_to_plant,True
"(456260.329456304, 5734034.131395857)","(456258.9103632866, 5734031.285240487)",3.1803184400730355,1047,Street_1047,residential,return,1376,40,building_to_plant,True
"(456258.9103632866, 5734031.285240487)","(456255.7006131774, 5734032.881396885)",3.584719097793675,1045,Street_1045,residential,return,1376,40,building_to_plant,True
"(456254.58803593635, 5733883.360178253)","(456240.81863991416, 5733886.783198596)",14.188493052000245,558,Street_558,residential,return,1390,40,building_to_plant,True
"(456298.4907785007, 5733661.374381633)","(456147.68605303194, 5733732.545735235)",166.75559000331742,879,Street_879,residential,return,1396,40,building_to_plant,True
"(456267.3179133036, 5734260.1578022875)","(456191.1902512473, 5734234.781824511)",80.24563027538794,775,Street_775,residential,return,1400,40,building_to_plant,True
"(456284.7402611515, 5734081.323504244)","(456300.9120065741, 5734112.18153771)",34.83882287637143,629,Street_629,residential,return,1402,40,building_to_plant,True
"(456300.9120065741, 5734112.18153771)","(456330.6087898862, 5734098.009646271)",32.9050367882579,629,Street_629,residential,return,1402,40,building_to_plant,True
"(456330.6087898862, 5734098.009646271)","(456339.70193136757, 5734093.4929138785)",10.153132201895225,628,Street_628,residential,return,1402,40,building_to_plant,True
"(456339.70193136757, 5734093.4929138785)","(456361.38645890553, 5734082.694069951)",24.224652004084025,574,Street_574,residential,return,1402,40,building_to_plant,True
"(456361.38645890553, 5734082.694069951)","(456336.76533313055, 5734032.656064301)",55.76739050611265,576,Street_576,residential,return,1402,40,building_to_plant,True
"(456336.76533313055, 5734032.656064301)","(456350.78006159037, 5734008.99935088)",27.496412559884295,848,Street_848,residential,return,1402,40,building_to_plant,True
"(456350.78006159037, 5734008.99935088)","(456324.8794418819, 5733992.951724474)",30.469138723431733,847,Street_847,residential,return,1402,40,building_to_plant,True
"(456324.8794418819, 5733992.951724474)","(456305.23866443784, 5733980.776147361)",23.108544234796458,786,Street_786,residential,return,1402,40,building_to_plant,True
"(456305.23866443784, 5733980.776147361)","(456269.92969751486, 5733908.363768952)",80.56224731230245,125,Street_125,residential,return,1402,40,building_to_plant,True
"(456269.92969751486, 5733908.363768952)","(456254.58803593635, 5733883.360178253)",29.335066521944576,125,Street_125,residential,return,1402,40,building_to_plant,True
"(456268.5365421624, 5733510.246165738)","(456095.1691303683, 5733597.475678374)",194.07536512099304,443,Street_443,residential,return,1413,40,building_to_plant,True
"(456095.1691303683, 5733597.475678374)","(456079.35133315425, 5733605.15466001)",17.58321550984788,443,Street_443,residential,return,1413,40,building_to_plant,True
"(456079.35133315425, 5733605.15466001)","(456073.9408811056, 5733607.737779176)",5.9954562792884385,631,Street_631,residential,return,1413,40,building_to_plant,True
"(456073.9408811056, 5733607.737779176)","(456069.59173132526, 5733610.111441076)",4.954732548495776,632,Street_632,residential,return,1413,40,building_to_plant,True
"(456069.59173132526, 5733610.111441076)","(456029.79021130747, 5733630.279095456)",44.61944955875049,840,Street_840,residential,return,1413,40,building_to_plant,True
"(456029.79021130747, 5733630.279095456)","(455894.14553770266, 5733697.254893333)",151.27866663405615,840,Street_840,residential,return,1413,40,building_to_plant,True
"(455894.14553770266, 5733697.254893333)","(455890.4976397222, 5733689.823642636)",8.27832390025812,837,Street_837,residential,return,1413,40,building_to_plant,True
"(456300.7464070872, 5734706.224897176)","(456294.6967721654, 5734697.067975183)",10.97484865830906,359,Street_359,residential,return,1429,40,building_to_plant,True
"(456294.6967721654, 5734697.067975183)","(456289.1602331573, 5734688.184667966)",10.467397541641448,359,Street_359,residential,return,1429,40,building_to_plant,True
"(456289.1602331573, 5734688.184667966)","(456278.4492157335, 5734680.325084478)",13.285290620370949,359,Street_359,residential,return,1429,40,building_to_plant,True
"(456284.3783288962, 5733510.831590038)","(456086.0463314465, 5733610.54629938)",221.98784757646618,704,Street_704,residential,return,1436,40,building_to_plant,True
"(456323.48306971637, 5734061.956695477)","(456339.70193136757, 5734093.4929138785)",35.46243849988142,629,Street_629,residential,return,1449,40,building_to_plant,True
"(456301.98312081734, 5733659.697947348)","(456298.4907785007, 5733661.374381633)",3.873872322198573,878,Street_878,residential,return,1458,40,building_to_plant,True
"(456316.0183467347, 5734008.322025942)","(456313.5990125974, 5734007.141785578)",2.691866449923659,328,Street_328,residential,return,1473,40,building_to_plant,True
"(456313.5990125974, 5734007.141785578)","(456311.1418336898, 5734006.37340717)",2.574516180041061,328,Street_328,residential,return,1473,40,building_to_plant,True
"(456311.1418336898, 5734006.37340717)","(456308.6412592885, 5734006.172653927)",2.508619979491463,328,Street_328,residential,return,1473,40,building_to_plant,True
"(456308.6412592885, 5734006.172653927)","(456306.5103685948, 5734006.41359398)",2.144468991989082,328,Street_328,residential,return,1473,40,building_to_plant,True
"(456306.5103685948, 5734006.41359398)","(456302.7464710683, 5734007.792078492)",4.008384230781698,328,Street_328,residential,return,1473,40,building_to_plant,True
"(456302.7464710683, 5734007.792078492)","(456300.5806905633, 5734003.2172817895)",5.061558067132099,872,Street_872,residential,return,1473,40,building_to_plant,True
"(456300.5806905633, 5734003.2172817895)","(456300.2565231533, 5734002.452642672)",0.8305163996728229,873,Street_873,residential,return,1473,40,building_to_plant,True
"(456300.2565231533, 5734002.452642672)","(456255.5066001221, 5734023.262119222)",49.3516962789599,873,Street_873,residential,return,1473,40,building_to_plant,True
"(456255.5066001221, 5734023.262119222)","(456256.92743633833, 5734026.308463524)",3.3613969057035855,873,Street_873,residential,return,1473,40,building_to_plant,True
"(456256.92743633833, 5734026.308463524)","(456251.4892609089, 5734028.836027073)",5.996859969479525,790,Street_790,residential,return,1473,40,building_to_plant,True
"(456328.7612090092, 5734181.844833702)","(456293.84103275754, 5734173.105421083)",35.99716714367542,844,Street_844,residential,return,1480,40,building_to_plant,True
"(456323.2313484241, 5734114.9019776)","(456357.1615214479, 5734098.569126084)",37.65658879983068,449,Street_449,residential,return,1484,40,building_to_plant,True
"(456357.1615214479, 5734098.569126084)","(456373.2769470022, 5734130.951656285)",36.17091653484059,449,Street_449,residential,return,1484,40,building_to_plant,True
"(456373.2769470022, 5734130.951656285)","(456389.27335147664, 5734123.316517616)",17.7251318360427,449,Street_449,residential,return,1484,40,building_to_plant,True
"(456389.27335147664, 5734123.316517616)","(456375.0983204496, 5734095.788779995)",30.96300765606283,449,Street_449,residential,return,1484,40,building_to_plant,True
"(456375.0983204496, 5734095.788779995)","(456368.7141554014, 5734083.142203354)",14.166632066319242,448,Street_448,residential,return,1484,40,building_to_plant,True
"(456368.7141554014, 5734083.142203354)","(456367.0774094549, 5734079.864126926)",3.6639763046531684,290,Street_290,residential,return,1484,40,building_to_plant,True
"(456367.0774094549, 5734079.864126926)","(456361.38645890553, 5734082.694069951)",6.355745092255695,575,Street_575,residential,return,1484,40,building_to_plant,True
"(456352.18102706416, 5733746.952343152)","(456359.8411149819, 5733741.091135939)",9.64524219003595,683,Street_683,residential,return,1507,40,building_to_plant,True
"(456359.8411149819, 5733741.091135939)","(456298.4907785007, 5733661.374381633)",100.5913748959676,880,Street_880,residential,return,1507,40,building_to_plant,True
"(456369.0730674924, 5733626.627439765)","(456284.3783288962, 5733510.831590038)",143.46385454178608,703,Street_703,residential,return,1515,40,building_to_plant,True
"(456335.60861993796, 5734278.951623457)","(456267.3179133036, 5734260.1578022875)",70.82957240272712,775,Street_775,residential,return,1516,40,building_to_plant,True
"(456356.1617295187, 5733752.245515739)","(456352.18102706416, 5733746.952343152)",6.622965201786454,683,Street_683,residential,return,1523,40,building_to_plant,True
"(456348.3876985325, 5734164.6016046)","(456323.2313484241, 5734114.9019776)",55.7036343051173,449,Street_449,residential,return,1528,40,building_to_plant,True
"(456357.06071963476, 5734688.118322661)","(456349.745032807, 5734687.934777415)",7.317988973692734,986,Street_986,residential,return,1530,40,building_to_plant,True
"(456349.745032807, 5734687.934777415)","(456343.8820938973, 5734687.787688156)",5.864783705210262,986,Street_986,residential,return,1530,40,building_to_plant,True
"(456343.8820938973, 5734687.787688156)","(456332.48950322595, 5734692.847135335)",12.465517557166795,986,Street_986,residential,return,1530,40,building_to_plant,True
"(456332.48950322595, 5734692.847135335)","(456325.42283857067, 5734700.905522318)",10.71799188788057,986,Street_986,residential,return,1530,40,building_to_plant,True
"(456325.42283857067, 5734700.905522318)","(456320.59329824185, 5734710.657375274)",10.882237631795574,986,Street_986,residential,return,1530,40,building_to_plant,True
"(456326.0318555378, 5733991.317844231)","(456324.8794418819, 5733992.951724474)",1.999405382813071,1076,Street_1076,residential,return,1544,40,building_to_plant,True
"(456354.33046386536, 5734781.593321562)","(456338.63546017045, 5734776.779904836)",16.416519776159657,762,Street_762,residential,return,1549,40,building_to_plant,True
"(456338.63546017045, 5734776.779904836)","(456323.88290621695, 5734773.20408111)",15.179735289893749,762,Street_762,residential,return,1549,40,building_to_plant,True
"(456323.88290621695, 5734773.20408111)","(456306.5223912336, 5734770.431878183)",17.58046044773033,762,Street_762,residential,return,1549,40,building_to_plant,True
"(456352.093140382, 5734279.909818562)","(456335.60861993796, 5734278.951623457)",16.51234544607146,775,Street_775,residential,return,1553,40,building_to_plant,True
