building_id,Sanierungszustand,A_NGF_m2,Ht_W_per_K,Q_kW_mittleres,Q_kW_kaltes,Q_kW_heisses
DEBBAL520000wbwK,vollsaniert,781.33,1126.97,12.3741,12.103629999999999,8.92558
DEBBAL520000wbp4,unsaniert,6.25,49.19,1.80051,1.76115,1.29873
DEBBAL520000wbpW,teilsaniert,162.18,316.37,8.22107,8.04137,5.92995
DEBBAL520000wbur,unsaniert,87.54,209.96,7.68442,7.51645,5.542859999999999
DEBBAL520000wbnp,teilsaniert,287.54,465.87,12.10616,11.84154,8.73231
DEBBAL520000wbqV,unsaniert,185.85,354.55,12.97667,12.69303,9.36022
DEBBAL520000wbsD,unsaniert,13.65,62.33,2.28144,2.23158,1.6456300000000001
DEBBAL520000wbrF,unsaniert,168.29,350.26,12.81966,12.53945,9.24697
DEBBAL520000wbrG,teilsaniert,137.77,290.17,7.54029,7.37548,5.438899999999999
DEBBAL520000wbtc,unsaniert,133.53,259.33,9.49146,9.284,6.8463
DEBBAL520000wbp1,teilsaniert,9.94,34.1,0.88601,0.86665,0.63909
DEBBAL520000wbv0,vollsaniert,11.86,68.66,0.75387,0.73739,0.54377
DEBBAL520000wbrx,teilsaniert,181.5,318.43,8.27467,8.0938,5.96862
DEBBAL520000wbZA,unsaniert,7.09,23.2,0.84897,0.8304199999999999,0.61237
DEBBAL520000wbpn,unsaniert,176.87,349.43,12.78925,12.5097,9.22503
DEBBAL520000wbs4,vollsaniert,9.27,42.34,0.46488,0.45472,0.33532
DEBBAL520000wbZQ,teilsaniert,90.51,209.49,5.44385,5.3248500000000005,3.92671
DEBBAL520000w9Do,teilsaniert,102.42,218.29,5.67258,5.54859,4.0916999999999994
DEBBAL520000Kfj2,vollsaniert,488.8,1763.74,19.36584,18.94254,13.9688
DEBBAL520000wbsd,unsaniert,109.92,174.0,6.368270000000001,6.22907,4.5935
DEBBAL520000wbpm,teilsaniert,99.33,224.29,5.82848,5.70108,4.204149999999999
DEBBAL520000wbrH,unsaniert,215.57,453.34,16.59209,16.22942,11.96806
DEBBAL520000wc0e,unsaniert,246.79,506.91,18.552880000000002,18.14735,13.3824
DEBBAL520000wbpL,unsaniert,63.04,253.48,10.54457,10.341790000000001,7.9591199999999995
DEBBAL520000wbYS,unsaniert,230.2,354.07,12.95894,12.67568,9.347430000000001
DEBBAL520000wbnO,unsaniert,2.1,31.49,0.9006900000000001,0.8755,0.57947
DEBBAL520000wbnK,unsaniert,99.28,234.58,8.58561,8.397950000000002,6.1929
DEBBAL01000bZAtz,vollsaniert,140.84,225.37,2.47453,2.42044,1.7849000000000002
DEBBAL520000wbnD,unsaniert,240.67,673.49,24.64989,24.11109,17.78025
DEBBAL520000wbZ1,vollsaniert,133.27,696.85,7.65137,7.48412,5.51902
DEBBAL520000wbeV,teilsaniert,218.9,405.92,10.54836,10.3178,7.60865
DEBBAL520000wbwD,teilsaniert,113.65,827.26,20.32252,19.85263,14.331479999999999
DEBBAL520000wbq8,teilsaniert,21.14,124.09,2.51973,2.44925,1.62109
DEBBAL520000wbp2,unsaniert,6.79,40.09,1.4671500000000002,1.43508,1.05827
DEBBAL520000wbr1,teilsaniert,231.51,367.67,9.55427,9.34543,6.8916
DEBBAL520000wbsc,unsaniert,158.33,327.21,11.97591,11.714139999999999,8.63836
DEBBAL520000wbZI,unsaniert,225.51,385.5,14.10942,13.80101,10.177280000000001
DEBBAL520000wbYZ,teilsaniert,97.77,211.93,5.507149999999999,5.38677,3.9723699999999997
DEBBAL520000wbux,unsaniert,241.26,429.99,15.73771,15.393709999999999,11.351790000000001
DEBBAL520000wbZH,unsaniert,13.9,74.23,2.1230900000000004,2.0637,1.3659000000000001
DEBBAL520000wbos,teilsaniert,243.01,277.91,7.22179,7.06394,5.20916
DEBBAL520000wbeP,teilsaniert,276.23,470.15,12.21741,11.95036,8.81256
DEBBAL520000wbw3,teilsaniert,207.64,1238.46,30.423959999999997,29.72052,21.45505
DEBBAL520000wbnA,teilsaniert,74.89,146.75,3.8135700000000003,3.7302199999999996,2.75077
DEBBAL520000wbqF,teilsaniert,165.73,334.49,8.69218,8.502180000000001,6.26977
DEBBAL520000wbrE,unsaniert,82.33,187.97,6.87985,6.72947,4.96251
DEBBAL520000wbpk,teilsaniert,163.58,304.21,7.9053,7.73251,5.70219
DEBBAL520000wbnX,teilsaniert,144.51,259.29,6.7378599999999995,6.59058,4.8600900000000005
DEBBAL520000wbtl,unsaniert,125.92,248.89,9.10949,8.91038,6.57078
DEBBAL520000wbrz,unsaniert,152.98,296.09,10.83705,10.60017,7.81689
DEBBAL520000wbpY,unsaniert,4.46,33.35,0.95378,0.9271,0.61362
DEBBAL520000wbo6,unsaniert,206.02,364.45,13.338799999999999,13.04724,9.62143
DEBBAL520000wbov,unsaniert,188.24,356.75,13.05688,12.77148,9.41808
DEBBAL520000wbZr,unsaniert,2.71,19.86,0.72702,0.71113,0.5244099999999999
DEBBAL520000wbrQ,unsaniert,168.77,331.51,12.13344,11.868229999999999,8.75199
DEBBAL520000wbwa,teilsaniert,153.7,880.54,21.63142,21.13127,15.25453
DEBBAL520000wbr7,unsaniert,142.3,295.16,10.80281,10.566690000000001,7.79219
DEBBAL520000wbsa,teilsaniert,108.71,221.05,5.74433,5.6187700000000005,4.14345
DEBBAL520000wbul,unsaniert,111.11,246.05,9.00531,8.80847,6.49563
DEBBAL520000wbrX,unsaniert,56.62,125.1,4.578609999999999,4.47853,3.3026
DEBBAL520000wbpx,unsaniert,16.38,75.46,2.38439,2.32402,1.61474
DEBBAL520000wbwh,unsaniert,101.24,249.85,9.144549999999999,8.94467,6.59607
DEBBAL520000wbZZ,unsaniert,80.59,210.81,7.71554,7.5469,5.56531
DEBBAL520000wbwc,teilsaniert,31.08,216.24,5.31204,5.18921,3.74606
DEBBAL520000wbw6,teilsaniert,126.97,847.66,22.02729,21.54582,15.88854
DEBBAL01000cGoMu,unsaniert,30.91,133.68,4.89269,4.78575,3.52915
DEBBAL520000wbw5,teilsaniert,41.56,286.97,7.04974,6.88674,4.9715
DEBBAL520000wbsZ,unsaniert,99.72,206.24,7.5485,7.38351,5.44482
DEBBAL01000c42ae,unsaniert,40.43,110.76,4.05375,3.96514,2.92402
DEBBAL520000wbre,vollsaniert,131.8,252.24,2.76955,2.70901,1.99771
DEBBAL520000wbpt,unsaniert,128.42,252.86,9.254520000000001,9.05223,6.67539
DEBBAL520000wbZG,vollsaniert,11.68,67.21,0.57664,0.56051,0.37099
DEBBAL520000wbor,teilsaniert,141.44,291.78,7.582140000000001,7.41641,5.46908
DEBBAL520000wbnh,teilsaniert,168.77,326.9,8.4949,8.30922,6.127470000000001
DEBBAL520000wbra,teilsaniert,233.56,389.0,10.108600000000001,9.887649999999999,7.29145
DEBBAL520000wbqq,teilsaniert,144.66,282.1,7.33069,7.17046,5.28771
DEBBAL520000wbsG,teilsaniert,169.72,301.17,7.82628,7.65521,5.6451899999999995
DEBBAL520000wbrV,unsaniert,181.56,355.19,13.00012,12.715969999999999,9.377139999999999
DEBBAL520000wbrt,teilsaniert,241.41,422.15,10.970120000000001,10.73033,7.91287
DEBBAL520000wbsQ,teilsaniert,5.8,32.72,0.6644500000000001,0.64587,0.42748
DEBBAL520000Kfjk,vollsaniert,1943.56,8829.96,110.19788,108.07869000000001,83.17821
DEBBAL520000wbr9,teilsaniert,17.2,89.73,1.8220399999999999,1.77107,1.17222
DEBBAL520000wbsl,teilsaniert,132.41,238.37,6.19424,6.0588500000000005,4.46798
