type,element,name,value,limit,severity
undervoltage,bus_107,n-4626137737,0.844 pu,0.900 pu,critical
undervoltage,bus_126,n-4626137756,0.892 pu,0.900 pu,warning
undervoltage,bus_212,n-4626137845,0.690 pu,0.900 pu,critical
undervoltage,bus_247,n-4626137882,0.638 pu,0.900 pu,critical
undervoltage,bus_301,n-4626137937,0.765 pu,0.900 pu,critical
undervoltage,bus_362,n-4626137999,0.881 pu,0.900 pu,warning
undervoltage,bus_365,n-4626138003,0.715 pu,0.900 pu,critical
undervoltage,bus_419,n-4626138059,0.892 pu,0.900 pu,warning
undervoltage,bus_526,n-4626138174,0.863 pu,0.900 pu,warning
undervoltage,bus_552,n-4626138202,0.763 pu,0.900 pu,critical
undervoltage,bus_641,n-4626138297,0.810 pu,0.900 pu,critical
undervoltage,bus_643,n-4626138299,0.849 pu,0.900 pu,critical
undervoltage,bus_658,n-4626138315,0.808 pu,0.900 pu,critical
undervoltage,bus_691,n-4626138349,0.700 pu,0.900 pu,critical
undervoltage,bus_784,n-4626138447,0.734 pu,0.900 pu,critical
undervoltage,bus_837,n-4626138502,0.826 pu,0.900 pu,critical
undervoltage,bus_844,n-4626138509,0.763 pu,0.900 pu,critical
undervoltage,bus_907,n-4626138574,0.881 pu,0.900 pu,warning
undervoltage,bus_936,n-4626138604,0.810 pu,0.900 pu,critical
undervoltage,bus_953,n-4626138622,0.809 pu,0.900 pu,critical
undervoltage,bus_1089,n-4626138763,0.871 pu,0.900 pu,warning
undervoltage,bus_1130,n-4626138806,0.826 pu,0.900 pu,critical
undervoltage,bus_1239,n-4626138922,0.700 pu,0.900 pu,critical
undervoltage,bus_1271,n-4626138956,0.863 pu,0.900 pu,warning
undervoltage,bus_1302,n-4626138988,0.765 pu,0.900 pu,critical
overload,line_110,w-853534_-4626138001--4626137868,128.4%,100.0%,critical
overload,line_111,w-853534_-4626137868--4626139037,129.4%,100.0%,critical
overload,line_125,w-853544_-4626136373--4626138197,177.5%,100.0%,critical
overload,line_135,w-853554_-4626138299--4626138297,1360.6%,100.0%,critical
overload,line_136,w-853554_-4626138297--4626138315,1363.6%,100.0%,critical
overload,line_137,w-853554_-4626138315--4626138202,1366.6%,100.0%,critical
overload,line_138,w-853554_-4626138202--4626139053,1370.8%,100.0%,critical
overload,line_139,w-853554_-4626139053--4626137845,1373.6%,100.0%,critical
overload,line_140,w-853554_-4626137845--4626138349,2160.9%,100.0%,critical
overload,line_141,w-853554_-4626138349--4626138447,2159.3%,100.0%,critical
overload,line_142,w-853554_-4626138447--4626138988,2158.0%,100.0%,critical
overload,line_143,w-853554_-4626138988--4626138502,2156.4%,100.0%,critical
overload,line_144,w-853554_-4626138502--4626137737,2152.3%,100.0%,critical
overload,line_145,w-853554_-4626137737--4626138503,2152.3%,100.0%,critical
overload,line_146,w-853554_-4626138503--4626138584,2150.6%,100.0%,critical
overload,line_155,w-853563_-4626138337--4626138946,391.0%,100.0%,critical
overload,line_156,w-853563_-4626138946--4626138568,392.7%,100.0%,critical
overload,line_157,w-853563_-4626138568--4626138916,395.1%,100.0%,critical
overload,line_158,w-853563_-4626138916--4626138935,395.1%,100.0%,critical
overload,line_159,w-853563_-4626138935--4626138435,396.5%,100.0%,critical
overload,line_160,w-853563_-4626138435--4626138167,397.9%,100.0%,critical
overload,line_161,w-853563_-4626138167--4626138056,399.3%,100.0%,critical
overload,line_162,w-853563_-4626138056--4626137780,401.8%,100.0%,critical
overload,line_163,w-853563_-4626137780--4626138866,403.6%,100.0%,critical
overload,line_164,w-853563_-4626138866--4626138028,405.0%,100.0%,critical
overload,line_165,w-853563_-4626138028--4626138529,409.1%,100.0%,critical
overload,line_166,w-853563_-4626138529--4626138539,411.4%,100.0%,critical
overload,line_167,w-853563_-4626138539--4626138439,413.0%,100.0%,critical
overload,line_168,w-853563_-4626138439--4626138746,415.7%,100.0%,critical
overload,line_169,w-853563_-4626138746--4626137957,418.4%,100.0%,critical
overload,line_170,w-853563_-4626137957--4626138799,420.7%,100.0%,critical
overload,line_171,w-853563_-4626138799--4626138166,423.4%,100.0%,critical
overload,line_172,w-853563_-4626138166--4626138163,425.0%,100.0%,critical
overload,line_173,w-853563_-4626138163--4626139068,427.7%,100.0%,critical
overload,line_174,w-853563_-4626139068--4626138155,356.7%,100.0%,critical
overload,line_175,w-853563_-4626138155--4626137833,353.3%,100.0%,critical
overload,line_176,w-853563_-4626137833--4626138999,351.8%,100.0%,critical
overload,line_177,w-853563_-4626138999--4626137758,350.3%,100.0%,critical
overload,line_178,w-853563_-4626137758--4626141274,348.7%,100.0%,critical
overload,line_179,w-853563_-4626141274--4626138456,348.7%,100.0%,critical
overload,line_180,w-853563_-4626138456--4626138965,345.7%,100.0%,critical
overload,line_181,w-853563_-4626138965--4626138233,341.2%,100.0%,critical
overload,line_182,w-853563_-4626138233--4626138380,338.9%,100.0%,critical
overload,line_183,w-853563_-4626138380--4626138334,334.9%,100.0%,critical
overload,line_184,w-853563_-4626138334--4626138536,333.3%,100.0%,critical
overload,line_185,w-853563_-4626138536--4626138714,331.7%,100.0%,critical
overload,line_186,w-853563_-4626138714--4626138322,330.2%,100.0%,critical
overload,line_187,w-853563_-4626138322--4626138570,328.6%,100.0%,critical
overload,line_188,w-853563_-4626138570--4626138617,325.6%,100.0%,critical
overload,line_189,w-853563_-4626138617--4626138612,323.4%,100.0%,critical
overload,line_190,w-853563_-4626138612--4626138305,323.4%,100.0%,critical
overload,line_191,w-853563_-4626138305--4626138797,503.9%,100.0%,critical
overload,line_192,w-853563_-4626138797--4626138265,486.8%,100.0%,critical
overload,line_193,w-853563_-4626138265--4626137785,486.8%,100.0%,critical
overload,line_194,w-853563_-4626137785--4626138839,483.9%,100.0%,critical
overload,line_195,w-853563_-4626138839--4626138680,481.6%,100.0%,critical
overload,line_196,w-853563_-4626138680--4626137912,480.5%,100.0%,critical
overload,line_197,w-853563_-4626137912--4626138294,476.5%,100.0%,critical
overload,line_198,w-853563_-4626138294--4626137759,475.5%,100.0%,critical
overload,line_199,w-853563_-4626137759--4626138777,475.5%,100.0%,critical
overload,line_200,w-853563_-4626138777--4626138912,474.2%,100.0%,critical
overload,line_201,w-853563_-4626138912--4626138004,472.2%,100.0%,critical
overload,line_202,w-853563_-4626138004--4626138524,471.6%,100.0%,critical
overload,line_203,w-853563_-4626138524--4626138352,470.3%,100.0%,critical
overload,line_204,w-853563_-4626138352--4626138168,469.6%,100.0%,critical
overload,line_205,w-853563_-4626138168--4626138228,467.2%,100.0%,critical
overload,line_206,w-853563_-4626138228--4626138768,465.0%,100.0%,critical
overload,line_207,w-853563_-4626138768--4626137945,463.2%,100.0%,critical
overload,line_208,w-853563_-4626137945--4626139072,461.9%,100.0%,critical
overload,line_209,w-853563_-4626139072--4626138304,459.4%,100.0%,critical
overload,line_210,w-853563_-4626138304--4626137958,458.2%,100.0%,critical
overload,line_211,w-853563_-4626137958--4626137982,458.2%,100.0%,critical
overload,line_212,w-853563_-4626137982--4626137727,457.0%,100.0%,critical
overload,line_213,w-853563_-4626137727--4626138624,568.3%,100.0%,critical
overload,line_214,w-853563_-4626138624--4626138855,567.1%,100.0%,critical
overload,line_215,w-853563_-4626138855--4626138596,565.9%,100.0%,critical
overload,line_216,w-853563_-4626138596--4626138153,564.4%,100.0%,critical
overload,line_239,w-853583_-4626138411--4626138104,223.2%,100.0%,critical
overload,line_240,w-853583_-4626138104--4626138968,223.2%,100.0%,critical
overload,line_241,w-853583_-4626138968--4626138761,221.3%,100.0%,critical
overload,line_242,w-853583_-4626138761--4626138079,219.9%,100.0%,critical
overload,line_243,w-853583_-4626138079--4626138888,218.5%,100.0%,critical
overload,line_269,w-853602_-4626138732--4626138427,156.8%,100.0%,critical
overload,line_291,w-853620_-4626138699--4626138649,147.5%,100.0%,critical
overload,line_292,w-853620_-4626138649--4626138878,148.7%,100.0%,critical
overload,line_293,w-853620_-4626138878--4626137748,149.9%,100.0%,critical
overload,line_294,w-853620_-4626137748--4626138869,160.0%,100.0%,critical
overload,line_295,w-853620_-4626138869--4626138393,161.2%,100.0%,critical
overload,line_296,w-853620_-4626138393--4626138544,161.3%,100.0%,critical
overload,line_305,w-853629_-4626137799--4626138392,469.8%,100.0%,critical
overload,line_306,w-853629_-4626138392--4626138173,467.5%,100.0%,critical
overload,line_307,w-853629_-4626138173--4626138021,466.1%,100.0%,critical
overload,line_308,w-853629_-4626138021--4626138305,464.5%,100.0%,critical
overload,line_309,w-853629_-4626138305--4626138218,284.1%,100.0%,critical
overload,line_310,w-853629_-4626138218--4626138151,276.9%,100.0%,critical
overload,line_311,w-853629_-4626138151--4626137827,275.6%,100.0%,critical
overload,line_312,w-853629_-4626137827--4626138415,275.6%,100.0%,critical
overload,line_313,w-853629_-4626138415--4626138876,273.9%,100.0%,critical
overload,line_314,w-853629_-4626138876--4626138848,273.9%,100.0%,critical
overload,line_352,w-853667_-4626138358--4626138411,749.8%,100.0%,critical
overload,line_370,w-853685_-4626138237--4626138589,257.1%,100.0%,critical
overload,line_371,w-853685_-4626138589--4626138448,257.1%,100.0%,critical
overload,line_372,w-853685_-4626138448--4626138847,255.7%,100.0%,critical
overload,line_373,w-853685_-4626138847--4626138401,254.7%,100.0%,critical
overload,line_374,w-853685_-4626138401--4626138813,253.4%,100.0%,critical
overload,line_375,w-853685_-4626138813--4626138871,251.9%,100.0%,critical
overload,line_376,w-853685_-4626138871--4626138634,250.7%,100.0%,critical
overload,line_377,w-853685_-4626138634--4626138795,249.4%,100.0%,critical
overload,line_378,w-853685_-4626138795--4626137935,248.0%,100.0%,critical
overload,line_379,w-853685_-4626137935--4626137830,244.8%,100.0%,critical
overload,line_380,w-853685_-4626137830--4626138394,242.9%,100.0%,critical
overload,line_381,w-853685_-4626138394--4626138214,240.3%,100.0%,critical
overload,line_382,w-853685_-4626138214--4626138047,237.9%,100.0%,critical
overload,line_383,w-853685_-4626138047--4626138012,236.0%,100.0%,critical
overload,line_384,w-853685_-4626138012--4626139064,234.2%,100.0%,critical
overload,line_385,w-853685_-4626139064--4626139020,232.5%,100.0%,critical
overload,line_386,w-853685_-4626139020--4626138282,229.6%,100.0%,critical
overload,line_411,w-853704_-4626137727--4626138142,112.1%,100.0%,warning
overload,line_412,w-853704_-4626138142--4626137932,114.0%,100.0%,warning
overload,line_413,w-853704_-4626137932--4626139034,115.2%,100.0%,warning
overload,line_414,w-853704_-4626139034--4626138883,117.3%,100.0%,warning
overload,line_415,w-853704_-4626138883--4626138575,118.2%,100.0%,warning
overload,line_416,w-853704_-4626138575--4626138195,120.9%,100.0%,critical
overload,line_417,w-853704_-4626138195--4626138255,122.1%,100.0%,critical
overload,line_418,w-853704_-4626138255--4626138139,123.3%,100.0%,critical
overload,line_419,w-853704_-4626138139--4626139036,124.4%,100.0%,critical
overload,line_420,w-853704_-4626139036--4626139043,155.5%,100.0%,critical
overload,line_421,w-853704_-4626139043--4626137901,155.5%,100.0%,critical
overload,line_422,w-853704_-4626137901--4626138199,156.9%,100.0%,critical
overload,line_423,w-853704_-4626138199--4626138590,158.6%,100.0%,critical
overload,line_424,w-853704_-4626138590--4626138779,162.3%,100.0%,critical
overload,line_425,w-853704_-4626138779--4626138191,163.4%,100.0%,critical
overload,line_426,w-853704_-4626138191--4626138160,166.6%,100.0%,critical
overload,line_427,w-853704_-4626138160--4626138691,166.4%,100.0%,critical
overload,line_428,w-853704_-4626138691--4626138560,167.8%,100.0%,critical
overload,line_429,w-853704_-4626138560--4626138070,169.1%,100.0%,critical
overload,line_430,w-853704_-4626138070--4626138559,127.9%,100.0%,critical
overload,line_431,w-853704_-4626138559--4626138975,129.1%,100.0%,critical
overload,line_432,w-853704_-4626138975--4626138811,130.5%,100.0%,critical
overload,line_433,w-853704_-4626138811--4626138032,131.7%,100.0%,critical
overload,line_434,w-853704_-4626138032--4626138162,133.2%,100.0%,critical
overload,line_435,w-853704_-4626138162--4626137934,134.5%,100.0%,critical
overload,line_436,w-853704_-4626137934--4626137898,135.9%,100.0%,critical
overload,line_437,w-853704_-4626137898--4626138738,137.2%,100.0%,critical
overload,line_438,w-853704_-4626138738--4626138230,119.2%,100.0%,warning
overload,line_439,w-853704_-4626138230--4626138231,117.2%,100.0%,warning
overload,line_440,w-853704_-4626138231--4626138496,115.1%,100.0%,warning
overload,line_441,w-853704_-4626138496--4626138307,111.9%,100.0%,warning
overload,line_442,w-853704_-4626138307--4626138646,110.0%,100.0%,warning
overload,line_443,w-853704_-4626138646--4626138982,108.7%,100.0%,warning
overload,line_444,w-853704_-4626138982--4626137757,107.5%,100.0%,warning
overload,line_445,w-853704_-4626137757--4626137920,105.3%,100.0%,warning
overload,line_446,w-853704_-4626137920--4626138157,103.0%,100.0%,warning
overload,line_447,w-853704_-4626138157--4626138406,103.1%,100.0%,warning
overload,line_448,w-853704_-4626138406--4626138844,101.2%,100.0%,warning
overload,line_485,w-853713_-4626139068--4626138514,784.0%,100.0%,critical
overload,line_486,w-853713_-4626138514--4626138210,786.0%,100.0%,critical
overload,line_487,w-853713_-4626138210--4626138991,787.8%,100.0%,critical
overload,line_488,w-853713_-4626138991--4626138926,789.9%,100.0%,critical
overload,line_489,w-853713_-4626138926--4626138244,791.7%,100.0%,critical
overload,line_490,w-853713_-4626138244--4626138648,793.3%,100.0%,critical
overload,line_491,w-853713_-4626138648--4626138366,795.2%,100.0%,critical
overload,line_492,w-853713_-4626138366--4626138384,796.9%,100.0%,critical
overload,line_493,w-853713_-4626138384--4626138080,800.1%,100.0%,critical
overload,line_494,w-853713_-4626138080--4626137999,803.3%,100.0%,critical
overload,line_495,w-853713_-4626137999--4626138299,805.1%,100.0%,critical
overload,line_496,w-853713_-4626138299--4626138956,556.1%,100.0%,critical
overload,line_497,w-853713_-4626138956--4626138763,554.3%,100.0%,critical
overload,line_498,w-853713_-4626138763--4626137756,554.3%,100.0%,critical
overload,line_499,w-853713_-4626137756--4626138276,551.8%,100.0%,critical
overload,line_500,w-853713_-4626138276--4626138348,548.9%,100.0%,critical
overload,line_501,w-853713_-4626138348--4626137750,536.8%,100.0%,critical
overload,line_502,w-853713_-4626137750--4626138918,535.1%,100.0%,critical
overload,line_503,w-853713_-4626138918--4626138425,533.3%,100.0%,critical
overload,line_504,w-853713_-4626138425--4626138234,532.0%,100.0%,critical
overload,line_505,w-853713_-4626138234--4626138561,527.8%,100.0%,critical
overload,line_506,w-853713_-4626138561--4626139076,526.1%,100.0%,critical
overload,line_507,w-853713_-4626139076--4626138645,523.5%,100.0%,critical
overload,line_508,w-853713_-4626138645--4626138444,521.0%,100.0%,critical
overload,line_509,w-853713_-4626138444--4626138460,519.1%,100.0%,critical
overload,line_510,w-853713_-4626138460--4626138243,519.1%,100.0%,critical
overload,line_528,w-853732_-4626138472--4626137809,489.7%,100.0%,critical
overload,line_529,w-853732_-4626137809--4626139938,489.7%,100.0%,critical
overload,line_530,w-853732_-4626139938--4626138888,412.1%,100.0%,critical
overload,line_547,w-853750_-4626138411--4626138581,527.5%,100.0%,critical
overload,line_548,w-853750_-4626138581--4626137813,524.6%,100.0%,critical
overload,line_549,w-853750_-4626137813--4626138681,522.1%,100.0%,critical
overload,line_550,w-853750_-4626138681--4626137797,519.8%,100.0%,critical
overload,line_551,w-853750_-4626137797--4626138483,518.8%,100.0%,critical
overload,line_552,w-853750_-4626138483--4626138849,517.0%,100.0%,critical
overload,line_553,w-853750_-4626138849--4626138940,516.3%,100.0%,critical
overload,line_554,w-853750_-4626138940--4626137730,515.3%,100.0%,critical
overload,line_555,w-853750_-4626137730--4626138116,514.5%,100.0%,critical
overload,line_556,w-853750_-4626138116--4626137819,512.8%,100.0%,critical
overload,line_557,w-853750_-4626137819--4626139061,511.5%,100.0%,critical
overload,line_558,w-853750_-4626139061--4626138221,510.2%,100.0%,critical
overload,line_559,w-853750_-4626138221--4626138376,509.0%,100.0%,critical
overload,line_560,w-853750_-4626138376--4626138070,508.9%,100.0%,critical
overload,line_561,w-853750_-4626138070--4626137766,466.8%,100.0%,critical
overload,line_562,w-853750_-4626137766--4626138147,466.8%,100.0%,critical
