type,element,name,value,limit,severity
undervoltage,bus_107,n-4626137737,0.844 pu,0.900 pu,critical
undervoltage,bus_126,n-4626137756,0.892 pu,0.900 pu,warning
undervoltage,bus_212,n-4626137845,0.690 pu,0.900 pu,critical
undervoltage,bus_247,n-4626137882,0.638 pu,0.900 pu,critical
undervoltage,bus_301,n-4626137937,0.765 pu,0.900 pu,critical
undervoltage,bus_362,n-4626137999,0.881 pu,0.900 pu,warning
undervoltage,bus_365,n-4626138003,0.715 pu,0.900 pu,critical
undervoltage,bus_419,n-4626138059,0.892 pu,0.900 pu,warning
undervoltage,bus_526,n-4626138174,0.863 pu,0.900 pu,warning
undervoltage,bus_552,n-4626138202,0.763 pu,0.900 pu,critical
undervoltage,bus_641,n-4626138297,0.810 pu,0.900 pu,critical
undervoltage,bus_643,n-4626138299,0.849 pu,0.900 pu,critical
undervoltage,bus_658,n-4626138315,0.808 pu,0.900 pu,critical
undervoltage,bus_691,n-4626138349,0.700 pu,0.900 pu,critical
undervoltage,bus_784,n-4626138447,0.734 pu,0.900 pu,critical
undervoltage,bus_837,n-4626138502,0.826 pu,0.900 pu,critical
undervoltage,bus_844,n-4626138509,0.763 pu,0.900 pu,critical
undervoltage,bus_907,n-4626138574,0.881 pu,0.900 pu,warning
undervoltage,bus_936,n-4626138604,0.810 pu,0.900 pu,critical
undervoltage,bus_953,n-4626138622,0.809 pu,0.900 pu,critical
undervoltage,bus_1089,n-4626138763,0.871 pu,0.900 pu,warning
undervoltage,bus_1130,n-4626138806,0.826 pu,0.900 pu,critical
undervoltage,bus_1239,n-4626138922,0.700 pu,0.900 pu,critical
undervoltage,bus_1271,n-4626138956,0.863 pu,0.900 pu,warning
undervoltage,bus_1302,n-4626138988,0.765 pu,0.900 pu,critical
overload,line_1005,w-853961_-4626141360--4626139004,260.1%,100.0%,critical
overload,line_1006,w-853961_-4626139004--4626138427,251.9%,100.0%,critical
overload,line_1025,w-853981_-4626138025--4626138942,101.5%,100.0%,warning
overload,line_1050,w-854008_-4626138325--4626138287,133.1%,100.0%,critical
overload,line_1051,w-854008_-4626138287--4626137980,133.1%,100.0%,critical
overload,line_1052,w-854008_-4626137980--4626138994,133.1%,100.0%,critical
overload,line_1053,w-854008_-4626138994--4626139050,130.3%,100.0%,critical
overload,line_1054,w-854008_-4626139050--4626139031,128.5%,100.0%,critical
overload,line_1055,w-854008_-4626139031--4626138187,128.5%,100.0%,critical
overload,line_1056,w-854008_-4626138187--4626138527,126.7%,100.0%,critical
overload,line_1057,w-854008_-4626138527--4626138097,125.5%,100.0%,critical
overload,line_1058,w-854008_-4626138097--4626138256,124.3%,100.0%,critical
overload,line_1059,w-854008_-4626138256--4626138062,123.1%,100.0%,critical
overload,line_1060,w-854008_-4626138062--4626137736,120.7%,100.0%,critical
overload,line_1061,w-854008_-4626137736--4626139055,117.9%,100.0%,warning
overload,line_1064,w-854008_-4626138010--4626138814,106.1%,100.0%,warning
overload,line_1065,w-854008_-4626138814--4626138639,349.4%,100.0%,critical
overload,line_1066,w-854008_-4626138639--4626139002,318.8%,100.0%,critical
overload,line_1067,w-854008_-4626139002--4626137755,317.2%,100.0%,critical
overload,line_1068,w-854008_-4626137755--4626141250,315.4%,100.0%,critical
overload,line_1069,w-854008_-4626141250--4626138836,315.3%,100.0%,critical
overload,line_1070,w-854008_-4626138836--4626138726,313.9%,100.0%,critical
overload,line_1071,w-854008_-4626138726--4626138247,313.9%,100.0%,critical
overload,line_1072,w-854008_-4626138247--4626138066,312.8%,100.0%,critical
